hitObjectColliderName,hits
Basketball_Court -3D,689
Bench_v1,62
Bench_v1 (1),94
Bench_v1 (2),119
Bench_v1 (3),108
Bench_v1 (4),80
Bench_v1 (5),79
Bench_v1 (6),63
Bench_v1 (7),72
Bench_v1 (8),7
Body,10967
Broadleaf_Mobile,17
Broadleaf_Mobile (1),12
Broadleaf_Mobile (10),8
Broadleaf_Mobile (12),6
Broadleaf_Mobile (13),33
Broadleaf_Mobile (14),3
Broadleaf_Mobile (180),3
Broadleaf_Mobile (186),16
Broadleaf_Mobile (189),2
Broadleaf_Mobile (192),19
Broadleaf_Mobile (2),27
Broadleaf_Mobile (202),13
Broadleaf_Mobile (206),6
Broadleaf_Mobile (218),7
Broadleaf_Mobile (223),2
Broadleaf_Mobile (3),49
Broadleaf_Mobile (32),8
Broadleaf_Mobile (4),6
Broadleaf_Mobile (49),2
Broadleaf_Mobile (5),39
Broadleaf_Mobile (53),2
Broadleaf_Mobile (54),9
Broadleaf_Mobile (55),2
Broadleaf_Mobile (56),2
Broadleaf_Mobile (6),2
Broadleaf_Mobile (62),2
Broadleaf_Mobile (7),2
Broadleaf_Mobile (8),18
Broadleaf_Mobile (9),5
Building_100,374
Building_101,497
Building_102,766
Building_103,724
Building_104,853
Building_105,195
Building_106,304
Building_107,258
Building_108,364
Building_109,585
Building_110,489
Building_111,222
Building_112,239
Building_113,691
Building_114,254
Building_115,345
Building_116,143
Building_117,503
Building_118,284
Building_119,534
Building_120,424
Building_121,352
Building_122,394
Building_123,824
Building_124,886
Building_125,264
Building_126,264
Building_127,196
Building_128,333
Building_129,22
Building_130,497
Building_131,821
Building_132,778
Building_133,973
Building_134,210
Building_135,499
Building_136,553
Building_137,1057
Building_138,623
Building_139,1335
Building_140,725
Building_141,882
Building_142,1304
Building_143,424
Building_144,666
Building_145,1272
Building_146,378
Building_147,1315
Building_148,813
Building_149,417
Building_150,689
Building_151,299
Building_152,902
Building_153,727
Building_154,1583
Building_155,213
Building_156,250
Building_157,203
Building_158,812
Building_159,1144
Building_160,659
Building_161,569
Building_162,460
Building_163,435
Building_164,361
Building_165,214
Building_166,372
Building_167,247
Building_168,147
Building_169,173
Building_170,598
Building_171,452
Building_172,274
Building_173,169
Building_174,199
Building_175,161
Building_176,1792
Building_177,201
Building_178,589
Building_179,36
Building_180,304
Building_181,61
Building_182,61
Building_183,641
Building_184,192
Building_185,463
Building_186,5
Building_187,383
Building_188,184
Building_189,594
Building_190,2
Building_192,221
Building_193,41
Building_194,842
Building_195,619
Building_196,106
Building_197,1018
Building_198,975
Building_199,633
Building_200,1079
Building_201,402
Building_202,463
Building_203,621
Building_204,330
Building_205,883
Building_206,181
Building_207,405
Building_208,382
Building_209,471
Building_210,895
Building_211,606
Building_212,574
Building_213,276
Building_214,338
Building_215,380
Building_216,236
Building_217,159
Building_218,169
Building_219,234
Building_220,718
Building_221,72
Building_222,253
Building_223,639
Building_224,154
Building_225,1229
Building_226,511
Building_227,238
Building_228,566
Building_229,1015
Building_230,471
Building_231,452
Building_232,1036
Building_233,566
Building_234,253
Building_235,873
Building_236,1423
Building_57,115
Building_58,156
Building_59,483
Building_60,420
Building_61,142
Building_62,352
Building_63,219
Building_64,626
Building_65,47
Building_66,56
Building_67,1212
Building_68,349
Building_69,33
Building_70,390
Building_71,415
Building_72,483
Building_73,223
Building_74,476
Building_75,726
Building_76,83
Building_77,412
Building_78,300
Building_79,389
Building_80,199
Building_81,133
Building_82,548
Building_83,928
Building_84,604
Building_85,791
Building_86,482
Building_87,382
Building_88,447
Building_89,516
Building_90,663
Building_91,701
Building_92,663
Building_93,127
Building_94,645
Building_95,52
Building_96,558
Building_97,1621
Building_98,1465
Building_99,429
Bus_stop_v1,61
Bus_stop_v1 (1),1056
Cargo_container_v1_LD2close,191
Castle-TaskBuilding_56,42
Cliff_5x14_V01_LOD0,43
Cliff_5x14_V02_LOD0,137
Cliff_5x14_V03_LOD0,52
Cliff_5x14_V04_LOD0,10
CollisionObject0,10405
CollisionObject1,25381
CollisionObject2,1066
Complete_fence.001,1037
Complete_fence.002,1011
Complete_fence.003,1918
Complete_fence.004,1829
Complete_fence.005,381
Complete_fence.006,612
Concrete_fence_v1_L2,5
Concrete_fence_v1_s1,11
Concrete_fence_v1_s1 (1),27
Concrete_fence_v1_s1 (2),14
Concrete_fence_v1_s2,1
Concrete_fence_v1_s2 (1),30
Concrete_fence_v1_s2 (10),2
Concrete_fence_v1_s2 (15),23
Concrete_fence_v1_s2 (16),17
Concrete_fence_v1_s2 (18),6
Concrete_fence_v1_s2 (19),5
Concrete_fence_v1_s2 (2),5
Concrete_fence_v1_s2 (20),4
Concrete_fence_v1_s2 (3),138
Concrete_fence_v1_s2 (34),2
Concrete_fence_v1_s2 (35),24
Concrete_fence_v1_s2 (36),67
Concrete_fence_v1_s2 (37),131
Concrete_fence_v1_s2 (38),54
Concrete_fence_v1_s2 (39),33
Concrete_fence_v1_s2 (4),14
Concrete_fence_v1_s2 (40),50
Concrete_fence_v1_s2 (41),69
Concrete_fence_v1_s2 (5),14
Concrete_fence_v1_s2 (6),32
Concrete_fence_v1_s2 (7),2
Concrete_fence_v1_s2 (8),8
Concrete_fence_v2_L,77
Concrete_fence_v2_S,241
Concrete_fence_v2_end (1),14
Concrete_fence_v2_lattice_L,54
Concrete_fence_v2_lattice_S,377
Cypress_v1_1,443
Cypress_v1_1 (1),195
Cypress_v1_1 (2),125
Cypress_v1_1 (3),56
Cypress_v1_2,864
Cypress_v1_2 (1),705
Cypress_v1_2 (2),194
Cypress_v1_2 (3),182
Cypress_v1_2 (4),585
Cypress_v1_2 (5),274
Dumpster_v2_1 (1),3
Dumpster_v2_2,2
E_plateau.001,640
E_road.001,33
Euro_v2_market_v3,176
Euro_v6_1_Forged_fence,41
Euro_v7_3_Roof_floor,59
Fence,2189
Fence.001,257
Fence0,8
Fence1,8
Fence2,38
Fence3,106
Fence4,31
Fence5,2
Fence6,35
Fence7,139
Fence8,88
Fence9,107
Fence_0,597
Fence_1,1415
Fence_10,329
Fence_11,41
Fence_12,258
Fence_13,31
Fence_14,9
Fence_15,1327
Fence_16,261
Fence_18,473
Fence_19,350
Fence_2,407
Fence_20,219
Fence_21,75
Fence_22,534
Fence_23,103
Fence_24,195
Fence_25,93
Fence_26,181
Fence_27,42
Fence_28,198
Fence_29,7
Fence_3,1479
Fence_30,156
Fence_31,1069
Fence_32,70
Fence_33,407
Fence_34,382
Fence_35,300
Fence_36,21
Fence_37,368
Fence_38,195
Fence_39,66
Fence_4,1201
Fence_40,4
Fence_41,91
Fence_42,25
Fence_43,172
Fence_44,41
Fence_5,124
Fence_6,928
Fence_7,639
Fence_8,58
Fence_9,630
Fencing,320
Forged_fence_v1,5
Garage_185,238
Garage_224,167
Garage_235,526
Garage_26,122
Garage_46,153
Garage_71,246
Garage_72,62
Garage_86,203
Garage_98,380
Graffity_01,211
Graffity_02,1082
Graffity_03,176
Graffity_04,504
Graffity_05,217
Graffity_06,336
Graffity_07,84
Graffity_08,281
Graffity_09,266
Graffity_11,391
Graffity_12,360
Graffity_13,550
Graffity_14,649
Graffity_15,538
Graffity_17,230
Graffity_18,250
Graffity_19,417
Graffity_20,745
Graffity_21,288
Graffity_22,195
Graffity_23,198
Graffity_24,563
Graffity_25,170
Graffity_26,107
Graffity_27,125
Graffity_28,174
Graffity_29,262
Graffity_30,198
Graffity_31,492
Graffity_32,772
Graffity_33,392
Graffity_34,245
Graffity_35,577
Graffity_36,106
Graffity_37,315
Graffity_38,118
Graffity_39,415
Graffity_40,554
Graffity_41,316
Graffity_42,128
Graffity_43,262
Graffity_44,177
Graffity_45,212
Graffity_46,1065
Graffity_47,202
Graffity_48,105
Graffity_50,130
Graffity_51,178
Graffity_52,91
Graffity_53,424
Graffity_54,951
Graffity_55,160
Gras,4
GrayRoom,307
Hedge,386
Hedge_0,237
Hedge_1,98
Hedge_10,15
Hedge_11,124
Hedge_12,186
Hedge_13,71
Hedge_14,218
Hedge_15,313
Hedge_16,195
Hedge_2,262
Hedge_3,96
Hedge_4,374
Hedge_5,91
Hedge_6,219
Hedge_7,441
Hedge_8,63
Hedge_9,240
HighSilo-TaskBuilding_49,414
House_10,866
House_49,156
Lamppost_v1,88
Lamppost_v1 (1),70
Lamppost_v1 (10),48
Lamppost_v1 (100),22
Lamppost_v1 (101),10
Lamppost_v1 (102),2
Lamppost_v1 (103),4
Lamppost_v1 (104),5
Lamppost_v1 (109),2
Lamppost_v1 (11),30
Lamppost_v1 (110),4
Lamppost_v1 (111),24
Lamppost_v1 (112),6
Lamppost_v1 (114),1
Lamppost_v1 (115),1
Lamppost_v1 (116),9
Lamppost_v1 (117),1
Lamppost_v1 (118),15
Lamppost_v1 (119),42
Lamppost_v1 (12),29
Lamppost_v1 (122),84
Lamppost_v1 (123),24
Lamppost_v1 (124),36
Lamppost_v1 (125),16
Lamppost_v1 (126),2
Lamppost_v1 (127),33
Lamppost_v1 (128),38
Lamppost_v1 (129),19
Lamppost_v1 (13),22
Lamppost_v1 (130),35
Lamppost_v1 (132),19
Lamppost_v1 (133),21
Lamppost_v1 (134),22
Lamppost_v1 (135),38
Lamppost_v1 (136),25
Lamppost_v1 (137),31
Lamppost_v1 (138),9
Lamppost_v1 (139),23
Lamppost_v1 (140),6
Lamppost_v1 (141),33
Lamppost_v1 (142),17
Lamppost_v1 (143),7
Lamppost_v1 (144),12
Lamppost_v1 (145),13
Lamppost_v1 (146),1
Lamppost_v1 (147),25
Lamppost_v1 (148),21
Lamppost_v1 (149),16
Lamppost_v1 (15),27
Lamppost_v1 (150),19
Lamppost_v1 (151),25
Lamppost_v1 (152),26
Lamppost_v1 (153),4
Lamppost_v1 (154),4
Lamppost_v1 (156),6
Lamppost_v1 (158),2
Lamppost_v1 (159),6
Lamppost_v1 (16),33
Lamppost_v1 (160),18
Lamppost_v1 (161),5
Lamppost_v1 (162),15
Lamppost_v1 (165),2
Lamppost_v1 (166),31
Lamppost_v1 (167),21
Lamppost_v1 (168),9
Lamppost_v1 (169),23
Lamppost_v1 (17),27
Lamppost_v1 (170),10
Lamppost_v1 (171),15
Lamppost_v1 (172),32
Lamppost_v1 (173),7
Lamppost_v1 (174),47
Lamppost_v1 (175),30
Lamppost_v1 (176),17
Lamppost_v1 (177),8
Lamppost_v1 (178),14
Lamppost_v1 (179),50
Lamppost_v1 (18),3
Lamppost_v1 (181),2
Lamppost_v1 (182),5
Lamppost_v1 (183),13
Lamppost_v1 (184),6
Lamppost_v1 (187),4
Lamppost_v1 (188),2
Lamppost_v1 (189),3
Lamppost_v1 (19),17
Lamppost_v1 (191),2
Lamppost_v1 (192),7
Lamppost_v1 (193),6
Lamppost_v1 (194),3
Lamppost_v1 (195),3
Lamppost_v1 (196),5
Lamppost_v1 (2),106
Lamppost_v1 (20),12
Lamppost_v1 (21),2
Lamppost_v1 (22),19
Lamppost_v1 (23),25
Lamppost_v1 (24),43
Lamppost_v1 (25),16
Lamppost_v1 (26),90
Lamppost_v1 (27),46
Lamppost_v1 (28),21
Lamppost_v1 (29),8
Lamppost_v1 (3),39
Lamppost_v1 (32),6
Lamppost_v1 (33),4
Lamppost_v1 (34),38
Lamppost_v1 (35),40
Lamppost_v1 (36),10
Lamppost_v1 (37),9
Lamppost_v1 (39),24
Lamppost_v1 (4),61
Lamppost_v1 (40),12
Lamppost_v1 (41),10
Lamppost_v1 (42),23
Lamppost_v1 (44),6
Lamppost_v1 (45),14
Lamppost_v1 (46),40
Lamppost_v1 (47),14
Lamppost_v1 (48),18
Lamppost_v1 (49),1
Lamppost_v1 (5),40
Lamppost_v1 (50),103
Lamppost_v1 (51),15
Lamppost_v1 (52),65
Lamppost_v1 (53),15
Lamppost_v1 (54),4
Lamppost_v1 (55),13
Lamppost_v1 (56),10
Lamppost_v1 (57),22
Lamppost_v1 (58),10
Lamppost_v1 (59),14
Lamppost_v1 (6),31
Lamppost_v1 (60),11
Lamppost_v1 (61),41
Lamppost_v1 (62),10
Lamppost_v1 (63),11
Lamppost_v1 (64),10
Lamppost_v1 (65),5
Lamppost_v1 (66),12
Lamppost_v1 (67),3
Lamppost_v1 (69),7
Lamppost_v1 (7),91
Lamppost_v1 (70),39
Lamppost_v1 (71),28
Lamppost_v1 (72),49
Lamppost_v1 (73),3
Lamppost_v1 (74),74
Lamppost_v1 (75),3
Lamppost_v1 (76),44
Lamppost_v1 (77),1
Lamppost_v1 (79),8
Lamppost_v1 (8),57
Lamppost_v1 (80),17
Lamppost_v1 (81),11
Lamppost_v1 (82),18
Lamppost_v1 (83),2
Lamppost_v1 (84),2
Lamppost_v1 (86),14
Lamppost_v1 (87),9
Lamppost_v1 (88),10
Lamppost_v1 (89),46
Lamppost_v1 (9),38
Lamppost_v1 (90),4
Lamppost_v1 (91),17
Lamppost_v1 (92),22
Lamppost_v1 (93),22
Lamppost_v1 (94),20
Lamppost_v1 (95),25
Lamppost_v1 (96),17
Lamppost_v1 (97),10
Lamppost_v1 (98),3
Lamppost_v1 (99),18
Lamppost_v2,20
Lamppost_v2 (1),1
Lamppost_v2 (2),25
Lamppost_v3,17
Maraz_cafe_place.001,266
Moss.003,710
O_road.001,9
Oil_tank_v1,112
OldCityWall_0,724
OldCityWall_1,978
OldCityWall_10,26
OldCityWall_11,536
OldCityWall_12,209
OldCityWall_13,274
OldCityWall_14,331
OldCityWall_15,1097
OldCityWall_16,299
OldCityWall_17,460
OldCityWall_18,236
OldCityWall_19,719
OldCityWall_2,71
OldCityWall_20,113
OldCityWall_21,172
OldCityWall_22,442
OldCityWall_23,57
OldCityWall_24,352
OldCityWall_3,790
OldCityWall_4,131
OldCityWall_5,382
OldCityWall_6,752
OldCityWall_7,818
OldCityWall_8,781
OldCityWall_9,359
Park_bench_LOD0,29
Road_block_v1 (1),2
Signboard_menu_v2,16
Signboard_menu_v2 (1),24
SmallWall_0,180
SmallWall_1,36
SmallWall_10,425
SmallWall_11,80
SmallWall_12,24
SmallWall_13,103
SmallWall_14,270
SmallWall_15,41
SmallWall_16,862
SmallWall_17,3
SmallWall_18,12
SmallWall_19,75
SmallWall_2,157
SmallWall_20,102
SmallWall_21,909
SmallWall_22,190
SmallWall_23,41
SmallWall_24,51
SmallWall_25,24
SmallWall_26,196
SmallWall_27,22
SmallWall_28,142
SmallWall_29,59
SmallWall_3,56
SmallWall_30,202
SmallWall_32,30
SmallWall_33,90
SmallWall_34,17
SmallWall_36,251
SmallWall_37,102
SmallWall_38,43
SmallWall_39,144
SmallWall_4,17
SmallWall_40,32
SmallWall_41,31
SmallWall_42,276
SmallWall_44,166
SmallWall_45,27
SmallWall_46,404
SmallWall_47,109
SmallWall_5,235
SmallWall_6,372
SmallWall_7,576
SmallWall_8,168
SmallWall_9,6
TaskBuilding_1,1670
TaskBuilding_11,1520
TaskBuilding_12,748
TaskBuilding_13,1503
TaskBuilding_14,1893
TaskBuilding_15,1196
TaskBuilding_17,590
TaskBuilding_18,582
TaskBuilding_19,1239
TaskBuilding_2,2527
TaskBuilding_20,1337
TaskBuilding_21,505
TaskBuilding_22,533
TaskBuilding_23,977
TaskBuilding_24,741
TaskBuilding_25,618
TaskBuilding_26,916
TaskBuilding_27,552
TaskBuilding_28,625
TaskBuilding_29,638
TaskBuilding_3,554
TaskBuilding_30,759
TaskBuilding_31,1224
TaskBuilding_32,1173
TaskBuilding_33,776
TaskBuilding_34,2154
TaskBuilding_35,1258
TaskBuilding_36,636
TaskBuilding_37,911
TaskBuilding_38,356
TaskBuilding_39,1056
TaskBuilding_4,1256
TaskBuilding_40,1446
TaskBuilding_41,774
TaskBuilding_42,368
TaskBuilding_43,760
TaskBuilding_44,1632
TaskBuilding_45,657
TaskBuilding_46,1658
TaskBuilding_47,398
TaskBuilding_48,516
TaskBuilding_5,660
TaskBuilding_50,588
TaskBuilding_51,788
TaskBuilding_52,334
TaskBuilding_53,699
TaskBuilding_54,1296
TaskBuilding_55,459
TaskBuilding_6,1080
TaskBuilding_7,460
TaskBuilding_8,651
TaskBuilding_9,921
Trash_v1_1,64
Trash_v1_1 (1),182
Trash_v1_1 (2),2
Trash_v1_2,165
Trash_v2,9
Trash_v2 (1),26
Trash_v2 (2),14
Tree_Planters_v1_1HR,109
Tree_Planters_v1_1HR (1),37
Tree_Planters_v1_2LS,11
Tree_Planters_v1_3HR,83
Tree_Planters_v1_3HR (1),67
Tree_Planters_v1_3HS,42
Tree_Planters_v1_4LR,1
Tree_Planters_v1_4LS,6
Tree_Planters_v1_4LS (2),23
Tree_Planters_v1_4LS (4),2
Tree_Planters_v1_4LS (6),14
Tree_Planters_v1_4LS (7),8
V_new_roads.002,91
W_new_roads.001,819
Wall,7145
Wall0,116
Wall1,47
Wall2,5
Wall3,2
Wall4,46
Wall5,66
Wall6,241
Wall7,60
Wall8,63
Wall_0,1080
Wall_1,2774
Wall_10,410
Wall_2,670
Wall_3,373
Wall_4,203
Wall_5,555
Wall_6,49
Wall_7,911
Wall_8,435
Wall_9,294
Wheel01,217
Wheel02,261
Wheel03,245
Wheel04,285
Windmill-TaskBuilding_10_1,306
barbwire0,189
body,2852
building01_LOD0,278
building01_LOD1,659
building02_LOD0,347
church,1332
crane_1,528
crane_2,20
cyclone0,1545
field,30
field_E.004,180
field_E.005,168
moss.001,257
pavement_A.002,570
pavement_B.002,113
pavement_C.002,571
pavement_D.002,184
pavement_E.008,729
pavement_E.009,89
pavement_E.010,97
pavement_E.011,133
pavement_E.012,119
pavement_E.013,136
pavement_E.014,282
pavement_F.004,428
pavement_F.005,155
pavement_F.006,12
pavement_G.005,167
pavement_G.006,16
pavement_G.007,108
pavement_G.008,3
pavement_Ha.002,2403
pavement_Ha.003,24
pavement_I.003,1940
pavement_I.004,100
pavement_J.002,1051
pavement_K.002,556
pavement_L.002,866
pavement_M.002,140
pavement_N.002,114
pavement_O.002,526
pavement_P.002,231
pavement_Q.002,441
pavement_R.002,689
pavement_S.002,607
pavement_T.002,876
pavement_T01.002,50
pavement_T01.003,256
pavement_Ua1.001,258
pavement_Ua3.001,99
pavement_Ua4.001,205
pavement_Ua5.001,80
pavement_Ua6.001,253
pavement_Ua7.001,78
pavement_Vb.003,446
pavement_Vb.004,32
pavement_W.002,468
pavement_W_fix.001,25
pavement_X.002,934
pileOfClay_LOD0,2228
pileOfSand_LOD0,1613
posts0,104
prefab_unity_grass_forest_heather_01 (1),5
prefab_unity_grass_forest_heather_01 (3),16
prefab_unity_grass_forest_heather_01 (5),22
prefab_unity_grass_grass_bush_01 (1),6
prefab_unity_grass_grass_bush_01 (2),3
prefab_unity_grass_grass_bush_01 (3),16
prefab_unity_grass_grass_bush_01 (4),8
prefab_unity_grass_grass_bush_03,18
prefab_unity_grass_grass_bush_03 (1),30
prefab_unity_grass_grass_bush_03 (2),30
prefab_unity_grass_grass_bush_03 (3),15
raods_S_fix.005,2
raods_S_fix.006,16
raods_S_fix.008,21
raods_S_fix.009,13
road.009,990
road.010,505
road.012,117
road.013,156
road.014,49
road.015,46
road.016,178
road_C.001,6
road_base_network.004,16793
road_base_network.005,671
road_dense_housing.008,854
road_dense_housing.009,58
road_dense_housing.010,98
road_dense_housing.011,12
road_dense_housing.012,191
road_dense_housing.013,2
road_dense_housing.014,183
road_green_area.006,5
road_green_area.007,440
road_green_area.008,31
road_housing_suburb.003,1212
road_housing_suburb.004,12
road_playground.002,495
scaffold_base_02_LOD0,1957
scaffold_topboard_01_LOD0,253
terrain_A.001,1640
terrain_B.002,253
terrain_B.003,6
terrain_C.001,1989
terrain_D.001,363
terrain_E.001,1818
terrain_F.001,1037
terrain_G.001,1767
terrain_H.001,4117
terrain_I.001,4608
terrain_J.001,506
terrain_K.001,561
terrain_L.001,592
terrain_M.001,73
terrain_N.001,125
terrain_O.001,1541
terrain_P.001,205
terrain_Q.001,2111
terrain_R.001,892
terrain_S.001,604
terrain_T.001,2014
terrain_U_LP.001,994
terrain_V.001,801
terrain_W.001,1484
terrain_X.001,1889
terrain_Y.001,271
traffic_light_single_tall,26
